player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,dribble_att,dribble_success,prog_carry_dist,,,,,,,,,,,,,,
Moussa Diaby\Moussa-Diaby,FWMF,Leverkusen,de Bundesliga,1771,0.25,0.25,0.51,0.25,0.51,0.24,0.24,0.48,0.24,0.48,2.08,1.17,18.3,3.4,0.51,73.6,91.1,1.73,1.22,1.37,0.71,2.18,0.46,12.1,0.76,0.41,0.86,0.05,48.1,5.94,61.5,223.8,,,,,,,,,,,,,,
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,1444,0,0,0,0,0,0,0,0.01,0,0.01,0.06,0.06,11.4,0.37,0,90.3,280.2,0.06,2.13,0.06,0.06,2,0.88,7.75,1.44,0.25,1.13,6.31,59.8,0.5,100,141.4,,,,,,,,,,,,,,
Bafodé Diakité\Bafode-Diakite,DF,Toulouse,fr Ligue 1,1366,0.13,0,0.13,0.13,0.13,0.11,0,0.11,0.11,0.11,0.72,0.33,5.9,0.46,0,84.9,248.9,0.07,1.51,0.2,0.13,2.04,1.38,8.03,1.51,0.99,2.37,5,53,0.59,66.7,103.9,,,,,,,,,,,,,,
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,1201,0,0.07,0.07,0,0.07,0.06,0.01,0.07,0.06,0.07,0.38,0.15,6.3,0.75,0.07,92.9,520.6,0.23,6.32,0.38,0.08,5.41,1.28,11.3,1.65,0.6,1.88,3.01,87.9,1.58,81,253.3,,,,,,,,,,,,,,
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,2196,0.49,0.12,0.61,0.45,0.57,0.43,0.1,0.53,0.33,0.43,2.95,1.07,19.2,2.3,0.33,70.5,28,1.07,0.66,0.2,0.04,0.78,0.12,19,0.41,0.16,0.29,1.6,31.9,2.17,52.8,64.7,,,,,,,,,,,,,,
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,1561,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05,0.29,0.12,28.6,1.15,0.17,87,174.3,0.52,2.89,0.23,0,2.77,2.77,18.3,0.87,0.87,3.64,1.56,58.1,2.08,63.9,148.8,,,,,,,,,,,,,,
Moussa Diarra\Moussa-Diarra,DF,Toulouse,fr Ligue 1,90,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,73.2,276,0,1,0,0,1,3,15,0,3,6,4,65,0,,163,,,,,,,,,,,,,,
Raphael Dias Belloli\Raphael-Dias-Belloli,MFFW,Rennes,fr Ligue 1,1690,0.27,0.16,0.43,0.21,0.37,0.34,0.29,0.64,0.27,0.56,2.29,0.8,19.3,5.01,0.37,66.3,178.4,2.18,2.02,1.38,0.32,4.89,1.6,19.7,1.81,0.69,2.29,0.74,51.6,5.85,52.7,175.3,,,,,,,,,,,,,,
Lucas Dias\Lucas-Dias,GK,Nîmes,fr Ligue 1,317,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,52.6,494,0,0.57,0,0,0,0,0,0,0,0,0,33.1,0,,28,,,,,,,,,,,,,,
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,1518,0.06,0.06,0.12,0,0.06,0.06,0.03,0.09,0.01,0.04,0.53,0.18,25.6,2.02,0.12,89.2,252.3,0.95,5.74,0.41,0,4.62,2.84,18.8,1.36,1.07,3.91,1.12,65.7,0.59,100,150.7,,,,,,,,,,,,,,
Brahim Díaz\Brahim-Diaz,FWMF,Real Madrid,es La Liga,65,0,0,0,0,0,0.61,0,0.61,0.61,0.61,4.29,2.86,15.5,2.77,0,87.5,167.1,0,2.86,1.43,0,2.86,1.43,20,1.43,2.86,4.29,0,90,10,28.6,392.9,,,,,,,,,,,,,,
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,2884,0.03,0.16,0.19,0.03,0.19,0.02,0.09,0.11,0.02,0.11,0.5,0.03,24.4,1.44,0.28,67.7,325.2,0.84,3.13,1.03,0.56,3.84,2.47,12.7,2.75,0.84,3.31,4.09,58.7,0.81,57.7,57.9,,,,,,,,,,,,,,
Bakaye Dibassy\Bakaye-Dibassy,DF,Amiens,fr Ligue 1,1868,0.1,0,0.1,0.1,0.1,0.04,0,0.05,0.04,0.05,0.24,0.19,9.7,0.39,0,81.2,198,0.14,1.54,0.14,0.1,2.21,1.68,9.57,2.6,1.63,3.32,4.71,54.8,0.58,83.3,90.4,,,,,,,,,,,,,,
Eric Dier\Eric-Dier,DFMF,Tottenham,eng Premier League,1344,0,0.13,0.13,0,0.13,0.07,0.01,0.07,0.07,0.07,0.54,0.07,14,0.67,0.07,81.4,287.4,0.27,3.76,0.2,0,2.89,1.68,13.7,1.74,0.4,2.08,5.23,69.5,0.34,60,98.4,,,,,,,,,,,,,,
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,3030,0,0.21,0.21,0,0.21,0.04,0.18,0.22,0.04,0.22,0.86,0.15,24.3,3.12,0.33,69.5,337.1,2.08,2.91,1.22,0.71,4.48,2.58,14.8,2.05,0.71,3.29,4.3,70.2,1.28,58.1,98.2,,,,,,,,,,,,,,
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,3420,0.13,0.03,0.16,0.13,0.16,0.08,0.03,0.11,0.08,0.11,0.79,0.37,11.3,0.63,0.16,90.5,485.3,0.18,5.97,0.24,0,4.05,0.79,3.5,0.84,0.63,1.42,6.82,91.2,0.13,60,128.5,,,,,,,,,,,,,,
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,1006,0,0,0,0,0,0,0.07,0.07,0,0.07,0,0,,1.43,0,79.3,284.5,0.98,3.39,0.89,0.63,3.75,1.43,10.1,1.88,0.45,1.88,2.41,58,2.32,34.6,134.4,,,,,,,,,,,,,,
Javairô Dilrosun\Javairo-Dilrosun,MFFW,Hertha BSC,de Bundesliga,1309,0.28,0.14,0.41,0.28,0.41,0.13,0.08,0.22,0.13,0.22,1.31,0.41,18.6,1.79,0.28,72.3,108.6,0.9,2,0.69,0.34,2.55,1.03,14.1,3.1,1.31,2.34,0.34,42.1,4.55,72.7,183.5,,,,,,,,,,,,,,
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,521,0,0.52,0.52,0,0.52,0.12,0.35,0.46,0.12,0.46,2.24,0.52,19.8,3.11,0.69,75.2,434.3,2.24,5.34,1.72,0.69,6.21,1.72,14.8,1.38,0.34,2.07,2.76,82.1,1.03,66.7,171.2,,,,,,,,,,,,,,
Federico Dimarco\Federico-Dimarco,DFMF,Inter,it Serie A,27,0,0,0,0,0,0.14,0,0.14,0.14,0.14,3.33,0,19.9,0,0,78.6,216.7,0,3.33,0,0,3.33,3.33,26.7,3.33,0,3.33,3.33,63.3,0,,186.7,,,,,,,,,,,,,,
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,892,0,0.1,0.1,0,0.1,0.04,0.1,0.14,0.04,0.14,0.91,0.1,19.3,2.62,0.2,72.7,107.1,1.21,2.53,1.41,0,3.94,1.11,21.4,1.11,0.4,1.52,0.2,45.4,0.91,55.6,34.5,,,,,,,,,,,,,,
Lois Diony\Lois-Diony,FW,Saint-Étienne,fr Ligue 1,666,0.27,0,0.27,0.27,0.27,0.19,0.03,0.22,0.19,0.22,1.89,1.08,16.4,1.62,0.14,60.7,24.3,0.81,0.54,0.54,0,1.08,1.08,23,0.41,0,1.08,0,25.9,1.35,40,44.2,,,,,,,,,,,,,,
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,2766,0.1,0.03,0.13,0.1,0.13,0.05,0.03,0.08,0.05,0.08,0.49,0.2,7.7,0.29,0.03,79.6,183.6,0.13,1.66,0.07,0,1.21,1.04,7.92,1.53,1.04,2.08,6.19,41.3,0.16,80,62.8,,,,,,,,,,,,,,
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,2253,0.04,0,0.04,0.04,0.04,0.05,0.02,0.06,0.05,0.06,1.04,0.28,22.4,1.28,0.08,73.6,125.5,0.56,3.32,0.16,0,3.44,1.72,16.6,1.48,0.8,2.52,2,42,0.4,60,35.4,,,,,,,,,,,,,,
Assane Dioussé\Assane-Diousse,MF,Saint-Étienne,fr Ligue 1,120,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,0.77,0.77,21.8,1.5,0.75,76.5,163.8,0.77,1.54,0.77,0,3.85,0.77,18.5,2.31,0.77,1.54,1.54,50,1.54,100,93.8,,,,,,,,,,,,,,
Axel Disasi\Axel-Disasi,DF,Reims,fr Ligue 1,2430,0.04,0,0.04,0.04,0.04,0.08,0.02,0.1,0.08,0.1,0.56,0.07,10.4,0.63,0.04,85.8,324.6,0.15,2.96,0.37,0,3.52,1.26,6.93,1.63,0.41,1.67,5.74,63.6,0.52,71.4,172.7,,,,,,,,,,,,,,
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,661,0,0,0,0,0,0,0,0,0,0,0,0,,0.41,0,88,321.5,0,2.05,0.27,0,2.05,1.23,10.7,1.1,0.68,1.92,6.58,69.2,0.41,33.3,157,,,,,,,,,,,,,,
Djené\Djene,DF,Getafe,es La Liga,3060,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.15,0.03,11.6,0.32,0,73.2,170.2,0.18,2.03,0.12,0.06,2.29,1.5,8.06,0.71,0.94,2.44,6.82,38.1,0.41,78.6,46.4,,,,,,,,,,,,,,
Moussa Djenepo\Moussa-Djenepo,MFDF,Southampton,eng Premier League,928,0.19,0.19,0.39,0.19,0.39,0.26,0.13,0.39,0.26,0.39,1.94,0.68,17.4,3.88,0.58,72.3,87,1.26,1.07,1.46,0.19,2.82,2.82,25.7,2.33,0.68,3.5,1.17,45.4,6.8,68.6,198.7,,,,,,,,,,,,,,
Koffi Djidji\Koffi-Djidji,DF,Torino,it Serie A,851,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,,0.32,0.11,87.6,233.5,0.21,1.37,0,0,1.47,3.05,17.8,4.32,0.95,4,5.79,55.9,0.84,87.5,62.4,,,,,,,,,,,,,,
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,2064,0.04,0.04,0.09,0.04,0.09,0.1,0.02,0.12,0.1,0.12,0.87,0.26,16.7,0.7,0.04,89,341.2,0.22,2.88,0.13,0.04,3.06,2.84,13.3,1.31,1.66,4.5,6.03,65.6,0.74,76.5,120.4,,,,,,,,,,,,,,
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,2783,0.06,0.03,0.1,0.06,0.1,0.06,0.02,0.07,0.06,0.07,0.71,0.1,9.2,0.84,0.03,87.9,292.8,0.32,2.75,0.16,0,2.75,1.78,11.9,1.23,1,2.78,5.08,70,0.55,76.5,99.6,,,,,,,,,,,,,,
Naïs Djouahra\Nais-Djouahra,FW,Real Sociedad,es La Liga,29,0,3.1,3.1,0,3.1,0.25,0.56,0.8,0.25,0.8,3.33,0,16.1,9.31,3.1,65.2,263.3,6.67,3.33,3.33,3.33,3.33,0,13.3,0,0,0,0,83.3,6.67,50,370,,,,,,,,,,,,,,
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,3150,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.03,0.03,7,0.23,0,45.1,547.8,0.03,1.77,0.06,0,0.03,0,0.14,0.03,0,0,0.06,33.1,0.03,100,54.5,,,,,,,,,,,,,,
Matt Doherty\Matt-Doherty,DF,Wolves,eng Premier League,2839,0.13,0.1,0.22,0.13,0.22,0.16,0.06,0.22,0.16,0.22,1.08,0.48,10.9,2.03,0.48,76.4,287.4,0.73,2.73,0.57,0.29,4.83,2.06,12,2.03,0.6,2.67,2.48,68.5,1.68,54.7,129.3,,,,,,,,,,,,,,
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,1888,0.52,0.14,0.67,0.52,0.67,0.34,0.06,0.4,0.34,0.4,2,1.19,13.6,1.24,0.29,77.1,11.6,0.33,0.14,0.19,0,0.29,0.76,18,0.86,0.43,1.19,1.33,26.3,1.81,47.4,45.4,,,,,,,,,,,,,,
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,148,0,0,0,0,0,0.06,0.07,0.12,0.06,0.12,2.5,1.25,28.3,4.26,0,76,129.4,2.5,5,1.25,0.63,3.75,1.88,33.1,1.25,1.25,3.13,0,57.5,3.13,60,88.8,,,,,,,,,,,,,,
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,1324,0,0,0,0,0,0,0,0,0,0,0,0,,0.07,0,65.6,491.2,0,0.2,0,0,0,0,0,0,0,0,0,34,0,,34.4,,,,,,,,,,,,,,
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,699,0,0.13,0.13,0,0.13,0.06,0.11,0.18,0.06,0.18,1.28,0.13,22.9,2.58,0.13,84.5,218.3,1.54,4.36,1.15,0,4.87,2.82,30.1,1.79,1.03,3.85,1.15,62.6,1.15,66.7,72.8,,,,,,,,,,,,,,
Giulio Donati\Giulio-Donati,DF,Lecce,it Serie A,1760,0.05,0,0.05,0.05,0.05,0.03,0.09,0.11,0.03,0.11,0.46,0.1,22,2.1,0.31,85.6,317.9,1.22,3.16,1.38,0.92,3.52,1.63,9.29,1.84,0.82,2.45,2.04,58.7,0.97,42.1,150.6,,,,,,,,,,,,,,
Ji Dong-won\Ji-Dong-won,FW,Mainz 05,de Bundesliga,102,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,60.9,31.8,0,0,0,0,0.91,0,17.3,0.91,0,0,0.91,32.7,1.82,0,20,,,,,,,,,,,,,,
Anastasios Donis\Anastasios-Donis,FWMF,Reims,fr Ligue 1,609,0,0,0,0,0,0.16,0.04,0.2,0.16,0.2,2.21,1.03,20.7,1.77,0,56.4,23.7,0.88,0,0.15,0.15,0.29,0.74,15.6,0.44,0,0.74,0.59,30.1,5.15,71.4,148.5,,,,,,,,,,,,,,
Alfredo Donnarumma\Alfredo-Donnarumma,FW,Brescia,it Serie A,1684,0.37,0.11,0.48,0.27,0.37,0.35,0.06,0.41,0.27,0.33,2.03,0.7,15.9,2.4,0.27,69,59.6,0.86,1.39,0.8,0.05,2.09,0.7,18.4,0.53,0.32,1.02,0.11,32.8,1.39,53.8,65.8,,,,,,,,,,,,,,
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,3201,0,0,0,0,0,0,0,0,0,0,0,0,,0.03,0,76.4,444.4,0,0.14,0,0,0.03,0,0.17,0,0,0,0.03,35,0,,40.1,,,,,,,,,,,,,,
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Lille,fr Ligue 1,2087,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.69,0.13,10.9,0.65,0.09,84.3,386.7,0.13,4.78,0.09,0,4.01,1.9,7.93,1.72,0.52,2.41,5.99,74.4,0.3,71.4,155.1,,,,,,,,,,,,,,
Mathieu Dossevi\Mathieu-Dossevi,MFFW,Toulouse,fr Ligue 1,1751,0.05,0.1,0.15,0.05,0.15,0.09,0.24,0.32,0.09,0.32,1.13,0.15,18.9,3.8,0.21,63,138.8,2.46,1.28,1.38,0.77,2.82,1.85,16.6,1.64,0.41,2.26,0.46,50.1,2.92,56.1,163,,,,,,,,,,,,,,
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,1475,0.49,0.12,0.61,0.49,0.61,0.41,0.09,0.5,0.41,0.5,1.95,1.04,8.9,2.5,0.37,59.2,59.6,1.1,2.01,0.37,0,2.01,0.49,12.4,0.61,0.24,0.73,1.46,35.6,0.43,57.1,15.9,,,,,,,,,,,,,,
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Watford,eng Premier League,3156,0.11,0.06,0.17,0.11,0.17,0.15,0.08,0.23,0.15,0.23,1.77,0.34,16.7,2.4,0.17,78.5,137.3,0.94,3.42,0.94,0.11,3.11,1.99,27,1.68,0.63,2.62,1.28,58.8,2.22,62.8,112.9,,,,,,,,,,,,,,
Mamadou Doucouré\Mamadou-Doucoure,MF,M'Gladbach,de Bundesliga,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100,4,0,0,0,0,0,0,0,0,0,0,0,9,0,,4,,,,,,,,,,,,,,
Moussa Doumbia\Moussa-Doumbia,FWMF,Reims,fr Ligue 1,1718,0.1,0.05,0.16,0.05,0.1,0.15,0.1,0.25,0.11,0.21,2.15,0.42,23.1,3.2,0.21,78.1,103.2,1.31,1.94,0.94,0.16,2.93,1.1,14.5,0.99,1.05,2.15,0.47,51.4,5.39,59.2,215.8,,,,,,,,,,,,,,
Souleyman Doumbia\Souleyman-Doumbia,DF,Rennes,fr Ligue 1,90,0,0,0,0,0,0,0.06,0.06,0,0.06,0,0,,1,0,79.2,246,1,3,0,0,3,2,12,3,0,2,2,72.4,1.4,57.1,194.2,,,,,,,,,,,,,,
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,450,0,0.2,0.2,0,0.2,0,0.06,0.06,0,0.06,0,0,,1.4,0.4,76.9,340.8,0.8,2.6,0.8,0.2,4,2,11.8,2.8,0.8,2.8,2.6,59,5,80,141,,,,,,,,,,,,,,
Thomas Doyle\Thomas-Doyle,MFFW,Manchester City,eng Premier League,16,0,0,0,0,0,0.42,0,0.42,0.42,0.42,5,5,19,0,0,100,130,0,5,0,0,0,0,25,0,0,0,0,100,0,,100,,,,,,,,,,,,,,
Mohamed Dräger\Mohamed-Drager,DF,Paderborn 07,de Bundesliga,1455,0.06,0.19,0.25,0.06,0.25,0.08,0.05,0.12,0.08,0.12,0.93,0.19,19.5,1.61,0.31,77,258.6,0.74,1.79,0.8,0.19,3.52,2.28,18.8,2.41,0.93,3.21,2.65,64.2,3.21,40.4,183.6,,,,,,,,,,,,,,
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,1029,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,0.18,0,6,1.14,0,90.7,497.6,0.09,6.23,0.26,0,5.09,1.93,9.47,2.11,0.61,2.54,5.18,92.2,0.09,100,163.1,,,,,,,,,,,,,,
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,2790,0,0,0,0,0,0,0,0,0,0,0,0,,0.23,0.03,71.6,366.8,0,0.19,0,0,0,0,0.03,0,0,0,0,31.7,0,,41.5,,,,,,,,,,,,,,
Julian Draxler\Julian-Draxler,MF,Paris S-G,fr Ligue 1,686,0,0.52,0.52,0,0.52,0.2,0.25,0.44,0.2,0.44,1.71,0.79,17.8,2.76,1.05,88.9,216.8,1.45,4.47,2.5,0.26,5.79,1.58,17.8,1.71,1.05,2.63,0.39,73.7,2.76,61.9,209.3,,,,,,,,,,,,,,
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,1587,0.17,0.23,0.4,0.17,0.4,0.14,0.19,0.33,0.14,0.33,1.14,0.45,17.9,3.29,0.34,73.1,160.5,1.53,1.93,1.82,0.63,3.52,1.76,21.8,1.48,1.25,3.01,0.91,49.5,2.27,57.5,113.7,,,,,,,,,,,,,,
Danny Drinkwater\Danny-Drinkwater,MF,Aston Villa,eng Premier League,259,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,0.69,0,19.5,1.39,0,81.4,194.8,0.34,5.52,0.34,0,3.45,3.1,36.6,1.03,2.41,5.52,1.38,68.6,1.03,66.7,59.7,,,,,,,,,,,,,,
Danny Drinkwater\Danny-Drinkwater,MF,Burnley,eng Premier League,58,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,55,65,0,0,0,0,1.67,3.33,38.3,1.67,3.33,6.67,0,43.3,1.67,0,8.33,,,,,,,,,,,,,,
Josip Drmić\Josip-Drmic,FWMF,Norwich City,eng Premier League,647,0.14,0,0.14,0.14,0.14,0.36,0.06,0.42,0.36,0.42,1.81,0.69,13.2,1.67,0.28,76.2,26,0.42,0.69,0,0,0.69,0.56,19.2,1.11,0.42,0.97,0.69,33.5,1.94,42.9,36.1,,,,,,,,,,,,,,
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,3087,0.09,0.03,0.12,0.09,0.12,0.04,0,0.04,0.04,0.04,0.29,0.12,7.6,0.15,0.03,79.6,219.5,0.06,1.95,0.15,0.03,2.57,1.02,6.06,1.43,0.44,1.46,6.82,45.7,0.26,66.7,77.3,,,,,,,,,,,,,,
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,405,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0.67,0,7.4,0.22,0,88.2,211.6,0,0.67,0,0,1.56,1.11,11.8,2.67,0.44,1.56,2.67,51.8,0,,60,,,,,,,,,,,,,,
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,485,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0.74,0.19,8.1,0.74,0.19,86,302.4,0,0.93,0,0,1.3,2.04,9.07,2.04,0.56,2.59,8.33,55.4,0.19,100,84.6,,,,,,,,,,,,,,
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,2663,0,0.03,0.03,0,0.03,0.04,0.03,0.08,0.04,0.08,0.68,0.27,17.3,1.25,0.2,71.2,298.6,0.37,3.07,0.54,0.27,3.14,2.33,11.8,2.09,0.64,2.97,4.32,55.8,0.34,40,62.9,,,,,,,,,,,,,,
Edgaras Dubickas\Edgaras-Dubickas,DF,Lecce,it Serie A,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,50,7,0,0,0,0,0,0,1,0,0,0,0,2,0,,3,,,,,,,,,,,,,,
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,1346,0,0,0,0,0,0.01,0.11,0.11,0.01,0.11,0.33,0,24.2,1.6,0.07,79.9,371.1,0.93,3.2,0.87,0.4,4.93,2.07,15.9,1.73,0.87,2.93,2.53,73.7,1.47,54.5,150.6,,,,,,,,,,,,,,
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,3420,0,0,0,0,0,0,0,0,0,0,0,0,,0.05,0,54.4,507.3,0,0.5,0,0,0,0,0.24,0.05,0,0,0.03,31.6,0,,37.5,,,,,,,,,,,,,,
Ondrej Duda\Ondrej-Duda,MF,Norwich City,eng Premier League,724,0,0,0,0,0,0.09,0.13,0.22,0.09,0.22,1.25,0.38,20.4,3.23,0.25,78,148,1.75,2.13,1.25,0.25,2.88,2.38,24.6,2.25,0.63,3,0.88,58.4,1.5,41.7,65.8,,,,,,,,,,,,,,
Ondrej Duda\Ondrej-Duda,MFFW,Hertha BSC,de Bundesliga,447,0,0.2,0.2,0,0.2,0.11,0.09,0.2,0.11,0.2,1.4,1,20.4,3.42,0.4,79.2,126.4,1.2,3.6,0.8,0,3.4,1,23.2,1,0.6,1.6,1.4,51.4,4.4,59.1,102.4,,,,,,,,,,,,,,
Shane Duffy\Shane-Duffy,DF,Brighton,eng Premier League,1238,0.07,0,0.07,0.07,0.07,0.11,0,0.11,0.11,0.11,0.43,0.07,11.4,0.36,0,84,253.4,0.07,1.88,0.29,0,1.67,1.16,7.25,1.52,0.94,2.1,8.41,58,0.36,40,75.9,,,,,,,,,,,,,,
Haris Duljević\Haris-Duljevic,FWMF,Nîmes,fr Ligue 1,520,0,0.52,0.52,0,0.52,0.15,0.24,0.39,0.15,0.39,2.41,0.69,24.5,4.15,1.04,70.4,62.4,2.07,0.52,1.38,0.34,1.72,2.07,16.9,1.21,0.34,2.41,0.17,40.7,3.28,63.2,162.9,,,,,,,,,,,,,,
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,1228,0,0,0,0,0,0,0.01,0.01,0,0.01,0.07,0.07,7.8,0.44,0.07,71.3,248.4,0.29,3.24,0.29,0.22,1.99,2.06,12,3.09,1.1,3.16,5.29,48.8,0.22,33.3,47.3,,,,,,,,,,,,,,
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,887,0.1,0.1,0.2,0.1,0.2,0.08,0.06,0.14,0.08,0.14,1.52,0.51,22.6,2.03,0.2,84.4,171.2,0.71,3.03,1.62,0.1,4.75,1.31,15.1,0.81,0.51,1.82,1.11,52.1,3.94,64.1,154.5,,,,,,,,,,,,,,
Alfred Duncan\Alfred-Duncan,MF,Sassuolo,it Serie A,843,0.11,0.53,0.64,0.11,0.64,0.15,0.1,0.25,0.15,0.25,1.6,0.32,22.9,2.88,0.64,81.4,193.5,1.28,2.98,1.49,0.11,4.47,1.91,18.2,1.28,0.64,2.55,2.02,63.5,3.4,53.1,129.4,,,,,,,,,,,,,,
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,3230,0.08,0.08,0.17,0.08,0.17,0.11,0.03,0.14,0.11,0.14,0.84,0.28,11,0.72,0.08,87.3,375.2,0.31,3.65,0.14,0,2.28,1.2,6.91,1.98,1,2.2,4.51,70.9,0.19,42.9,131.7,,,,,,,,,,,,,,
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,511,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,2.28,0.53,18.2,1.59,0.18,63.7,200.9,0.53,0.88,0.7,0,2.98,2.46,23.9,2.63,0.53,2.98,2.46,56.5,1.23,71.4,81.9,,,,,,,,,,,,,,
Riza Durmisi\Riza-Durmisi,DF,Nice,fr Ligue 1,160,0,0,0,0,0,0.02,0,0.02,0.02,0.02,0.56,0.56,31.4,0,0,81,146.7,0,0,0.56,0.56,2.78,0.56,8.33,1.67,0.56,1.11,2.22,65,1.67,33.3,125,,,,,,,,,,,,,,
Hugo Duro\Hugo-Duro,FWMF,Getafe,es La Liga,378,0.24,0.24,0.48,0.24,0.48,0.24,0.09,0.33,0.24,0.33,1.43,0.71,9.5,1.67,0.48,59.5,35.5,0.71,0.95,0.24,0,0.71,1.19,23.3,0.95,0.24,1.43,0.48,34.5,0.24,0,42.4,,,,,,,,,,,,,,
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,1178,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.15,0.08,16,0.84,0.15,85.7,345.9,0.15,3.74,0.15,0,3.89,1.3,11.8,2.67,1.22,2.52,5.42,76.3,0.99,61.5,185.3,,,,,,,,,,,,,,
Paulo Dybala\Paulo-Dybala,FWMF,Juventus,it Serie A,2155,0.46,0.25,0.71,0.42,0.67,0.37,0.27,0.64,0.34,0.61,4.18,1.46,19,6.31,1.04,83.4,212.4,2.89,3.97,2.26,0.42,4.9,1,16.8,1.09,0.5,1.51,0.08,78.8,4.6,57.3,174.1,,,,,,,,,,,,,,
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,2854,0.5,0.22,0.73,0.5,0.73,0.57,0.16,0.73,0.57,0.73,3.94,1.45,12.6,3.53,0.57,69.5,63.5,1.58,1.96,0.85,0.13,2.11,0.54,8.83,0.38,0.22,0.76,1.07,38.6,2.33,54.1,73.8,,,,,,,,,,,,,,
Blerim Džemaili\Blerim-Dzemaili,MF,Bologna,it Serie A,698,0.13,0.13,0.26,0.13,0.26,0.07,0.18,0.25,0.07,0.25,2.05,0.51,22.4,4,0.13,82.4,193.3,2.56,4.36,1.54,0,4.62,2.31,25.1,1.92,0.64,2.95,1.28,58.5,1.67,53.8,152.4,,,,,,,,,,,,,,
